gender,state,deviceinfo_deviceid,deviceinfo_model,num_session,total_time
Male,NY,9.90006E+14,SM-N920V,31491,6717241000
Female,MO,3.54473E+14,SAMSUNG-SM-G928A,30298,4670390000
Male,MI,3.55301E+14,SM-G930V,28898,5626334000
Male,MA,3.59775E+14,SM-G930V,23941,3536488000
Male,NJ,3.553E+14,SM-G935V,23289,6157065000
Female,MO,9.90004E+14,SM-N900V,22847,5549160000
Male,VA,3.53425E+14,SM-G930V,22628,6531259000
Male,NJ,3.55301E+14,SM-G930V,22241,4946406000
Male,CA,3.57425E+14,SAMSUNG-SM-G930A,22150,7697236000
Male,NJ,3.53425E+14,SM-G930V,22006,5331844000
Female,NJ,3.55301E+14,SM-G930V,22001,5392106000
Female,AZ,3.55301E+14,SM-G930V,21989,4057223000
Female,MS,3.53411E+14,SAMSUNG-SM-G900A,21083,4544435000
Female,OR,9.90006E+14,SM-G928V,20816,5780652000
Female,TX,3.57518E+14,SM-N900T,20747,2761707000
Male,FL,3.53411E+14,SAMSUNG-SM-G900A,20471,3181051000
Male,NJ,9.90006E+14,SM-N920V,20141,7359796000
Female,TX,3.55301E+14,SM-G930V,20040,4568218000
Female,La,9.90006E+14,SM-G928V,19913,6545308000
Male,NJ,3.55301E+14,SM-G930V,19770,6289896000
Male,TX,3.55072E+14,SAMSUNG-SM-N915A,19750,6851073000
Male,PA,3.53425E+14,SM-G930V,19693,4679670000
Male,IN,3.553E+14,SM-G935V,19503,3882253000
Female,VA,3.55301E+14,SM-G930V,19374,5542139000
Female,GA,9.90006E+14,SM-G928V,19243,3625364000
Female,OK,9.90004E+14,SM-G900V,18866,3302263000
Female,TX,9.90006E+14,SM-N920V,18860,6375631000
Male,TX,9.90006E+14,SM-G928V,18803,5797479000
Female,CA,3.5233E+14,SAMSUNG-SM-G935A,18668,5308306000
Female,CA,3.57753E+14,SM-G935V,18644,2879672000
Male,NJ,3.55072E+14,SAMSUNG-SM-N915A,18014,4457872000
Female,HI,3.57753E+14,SM-G935V,17921,5386524000
Male,KS,3.55501E+14,SM-G930P,17883,8370987000
Female,CA,9.90004E+14,SM-G900V,17770,3394323000
Female,WI,3.55301E+14,SM-G930V,17757,7009265000
Female,CA,3.5709E+14,SM-G935P,17724,6660083000
Male,IL,9.90006E+14,SM-G928V,17705,6724545000
Male,PA,3.57743E+14,SAMSUNG-SM-G920A,17665,6087013000
