gender,state,deviceinfo_deviceid,deviceinfo_model,test,num_session,total_time
Male,NY,9.90E+14,SM-N920V,657.8230974,31491,6717241000
Female,MO,3.54E+14,SAMSUNG-SM-G928A,602.0143489,30298,4670390000
Male,MI,3.55E+14,SM-G930V,235.7980115,28898,5626334000
Male,MA,3.60E+14,SM-G930V,108.0925091,23941,3536488000
Male,NJ,3.55E+14,SM-G935V,308.1997823,23289,6157065000
Female,MO,9.90E+14,SM-N900V,342.6202758,22847,5549160000
Male,VA,3.53E+14,SM-G930V,2.809245572,22628,6531259000
Male,NJ,3.55E+14,SM-G930V,547.623863,22241,4946406000
Male,CA,3.57E+14,SAMSUNG-SM-G930A,704.0242767,22150,7697236000
Male,NJ,3.53E+14,SM-G930V,306.1796627,22006,5331844000
Female,NJ,3.55E+14,SM-G930V,570.4971761,22001,5392106000
Female,AZ,3.55E+14,SM-G930V,491.2626454,21989,4057223000
Female,MS,3.53E+14,SAMSUNG-SM-G900A,669.7486852,21083,4544435000
Female,OR,9.90E+14,SM-G928V,678.3379296,20816,5780652000
Female,TX,3.58E+14,SM-N900T,660.425386,20747,2761707000
Male,FL,3.53E+14,SAMSUNG-SM-G900A,560.8204729,20471,3181051000
Male,NJ,9.90E+14,SM-N920V,133.4590253,20141,7359796000
Female,TX,3.55E+14,SM-G930V,118.1755931,20040,4568218000
Female,La,9.90E+14,SM-G928V,684.0758614,19913,6545308000
Male,NJ,3.55E+14,SM-G930V,865.7194272,19770,6289896000
Male,TX,3.55E+14,SAMSUNG-SM-N915A,719.9451255,19750,6851073000
Male,PA,3.53E+14,SM-G930V,650.7670151,19693,4679670000
Male,IN,3.55E+14,SM-G935V,748.3960659,19503,3882253000
Female,VA,3.55E+14,SM-G930V,198.3312385,19374,5542139000
Female,GA,9.90E+14,SM-G928V,84.90993404,19243,3625364000
Female,OK,9.90E+14,SM-G900V,655.4659944,18866,3302263000
Female,TX,9.90E+14,SM-N920V,785.9924375,18860,6375631000
Male,TX,9.90E+14,SM-G928V,558.6849122,18803,5797479000
Female,CA,3.52E+14,SAMSUNG-SM-G935A,152.5678899,18668,5308306000
Female,CA,3.58E+14,SM-G935V,544.1219305,18644,2879672000
Male,NJ,3.55E+14,SAMSUNG-SM-N915A,713.4858809,18014,4457872000
Female,HI,3.58E+14,SM-G935V,745.1986366,17921,5386524000
Male,KS,3.56E+14,SM-G930P,657.2112199,17883,8370987000
Female,CA,9.90E+14,SM-G900V,92.82368399,17770,3394323000
Female,WI,3.55E+14,SM-G930V,892.2000414,17757,7009265000
Female,CA,3.57E+14,SM-G935P,320.4121201,17724,6660083000
Male,IL,9.90E+14,SM-G928V,622.3011392,17705,6724545000
Male,PA,3.58E+14,SAMSUNG-SM-G920A,63.29885961,17665,6087013000
Female,MI,3.58E+14,SM-G935V,955.3224237,17472,6891068000
Male,PA,3.58E+14,SM-G935V,295.7104448,17331,2933742000
Male,TX,3.58E+14,SAMSUNG-SM-G925A,236.1939148,17300,7623537000
Male,AL,9.90E+14,SM-N900V,524.2169874,17204,3050974000
Female,TX,3.58E+14,SAMSUNG-SM-G925A,452.4212058,17058,4591788000
Female,OR,3.56E+14,SM-G930P,649.9205496,17052,8212759000
Male,NY,3.58E+14,SM-G935V,997.9974131,16936,3954849000
Male,VA,9.90E+14,SM-G928V,464.3977272,16788,4871289000
Male,MD,3.55E+14,SM-G930V,183.8408103,16622,5417602000
Male,UT,3.60E+14,SM-G925T,503.8143326,16574,6492201000
Male,VA,3.55E+14,SM-G930V,699.6434608,16498,6215005000
Male,VA,3.55E+14,SM-G935V,432.5058849,16335,3442456000
Female,GA,9.90E+14,SM-N910V,350.7248247,16297,2144038000
Male,VA,3.58E+14,SM-G935V,174.5401989,16235,5163902000
Female,IL,3.58E+14,SM-G935V,577.3043482,16219,3991117000
Male,MA,3.55E+14,SM-G935V,492.4230773,16142,6662532000
Male,MD,3.55E+14,SM-G930V,852.8914503,16083,3297199000
Female,TX,9.90E+14,SM-G920V,245.579427,16047,5372524000
Male,NJ,3.55E+14,SM-G935V,540.6209289,15932,7841742000
Female,IA,9.90E+14,SM-G928V,943.6876457,15774,5461962000
Female,GA,9.90E+14,SM-N920V,904.330847,15627,6205393000
Female,WI,3.58E+14,SM-G935V,53.94557833,15553,4888159000
Female,TN,9.90E+14,SM-G900V,732.7423802,15464,3059681000
Male,NC,3.53E+14,SAMSUNG-SM-G900A,742.2509153,15417,2271679000
Male,TX,9.90E+14,SM-N920V,516.9971876,15412,7655421000
Female,TX,3.58E+14,SM-N900T,457.8867017,15325,4308964000
Female,TX,3.54E+14,SAMSUNG-SM-N910A,881.2494899,15323,3056820000
Female,NV,3.57E+14,SM-G935P,440.0924124,15261,7251866000
Female,MD,9.90E+14,SM-G928V,757.6988031,15246,6049297000
Male,TX,3.55E+14,SM-G930V,620.7505884,15195,5537239000
Male,WA,3.55E+14,SM-G930V,600.6626953,15119,6172134000
Female,AR,3.58E+14,SAMSUNG-SM-N900A,73.17850444,15114,3077268000
Female,GA,3.57E+14,SAMSUNG-SM-G935A,842.8245079,15091,4774603000
Female,NY,3.52E+14,SAMSUNG-SM-G935A,522.5900242,14993,5143699000
Female,NY,3.57E+14,SM-G935T,8.4316926,14967,9222714000
Male,GA,9.90E+14,SM-G925V,216.1574115,14955,6829755000
Male,GA,9.90E+14,SM-N900V,366.0396867,14830,4463747000
Female,TN,9.90E+14,SM-G928V,174.892486,14786,3060749000
Male,FL,3.58E+14,SM-G935V,365.9002309,14764,3736240000
Male,NC,9.90E+14,SM-G928V,375.5829436,14727,6815915000
Male,TX,3.58E+14,SM-N900T,385.845281,14711,3455112000
Female,CA,3.58E+14,SM-G935V,33.27151708,14623,4184617000
Female,OH,9.90E+14,SM-N920V,757.6524559,14592,7414051000
Male,WA,3.55E+14,SM-G935V,343.3172966,14587,6377134000
Male,SD,9.90E+14,SM-N920V,200.6317159,14571,5444952000
Male,HI,3.53E+14,SAMSUNG-SM-G900A,899.7566712,14524,4605955000
Male,GA,9.90E+14,SM-N920V,300.4868153,14486,5952241000
Female,VA,9.90E+14,SM-N900V,437.1110326,14481,3798357000
Female,OH,3.53E+14,SM-G930V,465.3080729,14441,6856523000
Female,PA,3.58E+14,SM-G935V,98.35252714,14411,5936883000
Male,TX,3.58E+14,SAMSUNG-SM-G925A,781.5549767,14409,2316376000
Female,NY,3.57E+14,SAMSUNG-SM-G935A,497.0735604,14380,5334663000
Female,OR,3.58E+14,SAMSUNG-SM-G925A,224.8958302,14263,4434000000
Male,CA,9.90E+14,SM-G900V,964.4337882,14241,4812765000
Male,NC,3.58E+14,SM-G935V,865.9871209,14217,6438040000
Female,VA,3.52E+14,SAMSUNG-SM-G930A,560.0505071,14190,7422701000
Female,TX,3.58E+14,SAMSUNG-SM-G920A,431.3717147,14151,6046327000
Male,NY,3.58E+14,SM-G930T,71.87683751,14058,6915458000
Male,MD,9.90E+14,SM-G928V,261.489336,14016,4276321000
Male,TX,9.90E+14,SM-G925P,365.1791173,13973,6294365000
Male,SD,9.90E+14,SM-N920V,215.8474682,13917,6780423000
Male,PA,3.56E+14,SM-G935P,776.4124308,13815,6670174000
Female,VA,9.90E+14,SM-G928V,51.28764874,13672,5966580000
Female,GA,9.90E+14,SM-G900V,118.1145977,13635,4385412000
Male,GA,3.55E+14,SM-G930V,120.0021786,13630,3199823000
Female,tn,3.56E+14,SM-G935T,365.0230338,13624,5606522000
Female,CA,9.90E+14,SM-G928V,98.17501631,13600,8640733000
Male,IL,3.57E+14,SAMSUNG-SM-G935A,281.4513725,13550,6797507000
Female,NV,9.90E+14,SM-G928V,844.7045639,13540,4117456000
Male,ID,3.57E+14,SAMSUNG-SM-G930A,629.2747448,13530,6663198000
Female,TX,3.54E+14,SAMSUNG-SM-N920A,90.67996361,13491,5886288000
Female,GA,3.55E+14,SM-G930V,906.6341933,13462,7161773000
Female,MD,9.90E+14,SM-G928V,977.9535211,13418,5817362000
Male,TX,3.59E+14,SM-N915T,95.03472963,13378,4507764000
Male,MI,3.55E+14,SM-G930V,935.9971295,13314,3806735000
Female,MD,3.53E+14,SM-G930V,462.3055006,13300,7041244000
Male,NY,3.55E+14,SM-G930V,446.999085,13214,5997401000
Male,TX,3.54E+14,SAMSUNG-SM-G928A,212.7619327,13204,6817025000
Female,AL,3.58E+14,SM-G935V,551.9413036,13178,2061176000
Female,CA,3.57E+14,SAMSUNG-SM-G935A,87.17458709,13164,5936784000
Female,MO,3.59E+14,SM-N900T,500.3644455,13132,3919613000
Female,CO,3.55E+14,SM-G930V,245.0945326,13123,4368730000
Female,OH,3.55E+14,SM-G930V,260.6830913,13119,4881507000
Male,TX,9.90E+14,SM-G925V,948.0147434,13112,7673665000
Male,AL,3.55E+14,SM-G930V,833.5428345,13051,4383877000
Male,PA,3.54E+14,SM-G928T,888.6591826,13033,7366638000
Female,MD,3.58E+14,SM-G935V,688.1442152,13021,4919481000
Female,MA,3.55E+14,SM-G930V,349.1513142,13007,4959794000
Male,CA,3.55E+14,SM-G935V,562.1224517,13001,7571790000
Female,CA,9.90E+14,SM-N900V,823.3372983,12960,2599222000
Male,MD,9.90E+14,SM-G920P,103.9074097,12939,7496257000
Female,TX,9.90E+14,SM-G925V,762.7592916,12930,6338503000
Male,TN,3.53E+14,SM-G930V,955.3808147,12902,6177325000
Female,MD,3.54E+14,SAMSUNG-SM-G928A,323.0116005,12888,5224320000
Male,CT,3.59E+14,SM-N900T,902.8393214,12832,3041207000
Female,MD,3.54E+14,SAMSUNG-SM-G928A,346.961888,12818,3029795000
Male,SC,3.58E+14,SAMSUNG-SM-G935A,401.5237154,12756,3465820000
Female,NJ,3.53E+14,SM-G930V,775.8994741,12722,6875639000
Female,AL,3.53E+14,SM-G930V,334.3105452,12700,3010229000
Male,TX,9.90E+14,SM-G900V,830.0100903,12691,4597991000
Female,FL,9.90E+14,SM-G900V,767.9015146,12644,2170135000
Male,PA,3.57E+14,SAMSUNG-SM-G935A,798.0414639,12620,4223647000
Female,WI,3.53E+14,SM-G930V,153.180964,12588,5339712000
Female,TX,3.54E+14,SAMSUNG-SM-G900A,606.9504707,12579,2672505000
Male,TX,3.54E+14,SAMSUNG-SM-N910A,747.3049936,12531,2553176000
Female,TX,9.90E+14,SM-G925V,459.5883021,12498,2028853000
Male,WY,9.90E+14,SM-G925P,621.6553149,12475,6959619000
Male,NY,3.58E+14,SM-G935V,166.4795422,12472,5849260000
Male,PA,3.57E+14,SAMSUNG-SM-G930A,649.3682274,12412,3839071000
Female,OH,3.55E+14,SM-G930V,31.73179634,12408,5422926000
Female,OK,3.57E+14,SAMSUNG-SM-G930A,934.2843532,12368,2253032000
Male,WA,9.90E+14,SM-G928V,208.415623,12362,5136387000
Female,NC,3.57E+14,SAMSUNG-SM-G930A,107.2937545,12335,7687057000
Female,AR,3.55E+14,SM-G935V,49.24080973,12314,6253842000
Female,NJ,3.55E+14,SM-G930V,975.8119079,12299,6403411000
Female,CA,3.53E+14,SAMSUNG-SM-G900A,292.1445704,12282,4683757000
Male,MI,3.53E+14,SM-G930V,430.4023637,12240,7797159000
Male,MD,3.58E+14,SAMSUNG-SM-G935A,747.0909848,12217,5595032000
Male,CA,9.90E+14,SM-N920P,484.6048653,12215,8007580000
Male,FL,3.58E+14,SM-G935V,219.4519142,12195,3379009000
Female,OK,3.57E+14,SAMSUNG-SM-G930A,175.6637571,12128,7204527000
Male,UT,3.55E+14,SM-G935V,371.134278,12097,6097773000
Male,MN,3.55E+14,SM-G935V,764.3378086,12078,5609806000
Female,TX,3.57E+14,SAMSUNG-SGH-I337,455.6465584,12033,5639169000
Female,FL,3.58E+14,SM-G935V,229.1697164,11934,4337063000
Male,TX,3.53E+14,SAMSUNG-SM-G900A,366.9157747,11918,3624251000
Female,NJ,3.60E+14,SM-G930V,441.3345214,11904,6982935000
Male,NV,3.57E+14,SAMSUNG-SM-G935A,845.9948009,11882,5680369000
Female,NC,3.58E+14,SM-G935V,752.4652857,11876,5304024000
Male,TX,3.55E+14,SAMSUNG-SM-N915A,727.8667767,11871,7036569000
Female,ID,3.53E+14,SAMSUNG-SM-G900A,682.5085009,11810,2984942000
Female,CA,3.57E+14,SAMSUNG-SM-G930A,183.8031702,11786,7004698000
Male,TX,9.90E+14,SM-G925P,867.7631077,11773,6232961000
Female,FL,3.56E+14,SM-G930P,903.2717965,11762,4603825000
Male,TX,9.90E+14,SM-N920V,585.2967023,11754,5790015000
Female,UT,3.60E+14,SM-G925T,846.5245448,11747,7010027000
Female,AL,3.58E+14,SAMSUNG-SM-G920A,839.5748209,11703,4338286000
Male,ky,3.57E+14,SAMSUNG-SM-G930A,380.0944338,11677,3668455000
Female,Ar,3.57E+14,SAMSUNG-SM-G930A,718.1143988,11667,6781613000
Male,CA,3.54E+14,SAMSUNG-SM-G928A,504.2671523,11623,4562947000
Male,MO,3.55E+14,SM-G935V,303.6056754,11609,3809536000
Female,CA,3.55E+14,SM-G930V,592.2627565,11608,4176573000
Female,CA,3.54E+14,SAMSUNG-SM-G928A,944.4144547,11596,4884944000
Female,CA,3.58E+14,SM-G935V,672.9203307,11495,6089677000
Female,IL,9.90E+14,SM-N920V,960.9740121,11487,6099396000
Male,CO,3.58E+14,SM-G935V,739.2179786,11446,6033455000
Male,MI,9.90E+14,SM-G928V,404.5748908,11440,5659475000
Female,AR,3.55E+14,SM-G930V,268.1388256,11420,4167356000
Female,VA,3.54E+14,SAMSUNG-SM-G928A,515.4963137,11401,5064706000
Male,WA,9.90E+14,SM-N920V,619.1791141,11397,3662116000
Female,CA,3.54E+14,SAMSUNG-SM-N920A,343.0067494,11377,2402624000
Female,CO,3.58E+14,SM-G935V,823.4479712,11353,5272415000
Female,PA,3.57E+14,SAMSUNG-SM-G930A,801.022213,11335,2135120000
Female,PA,3.59E+14,SM-N915T,210.8511269,11306,7966807000
Female,CA,3.59E+14,SM-G920T,951.7141102,11298,5019234000
Male,VA,3.54E+14,SAMSUNG-SM-N920A,978.8509308,11268,5153082000
Female,FL,3.54E+14,SM-G930P,33.86442219,11256,5820746000
Female,NJ,3.55E+14,SM-G930V,291.4774575,11239,3964035000
Male,NC,3.54E+14,SM-G928T,876.2520394,11197,7447647000
Male,TX,3.58E+14,SAMSUNG-SM-G925A,794.1417705,11183,6431920000
Male,MO,3.55E+14,SM-G930V,418.256186,11168,-148603000
Female,TX,3.55E+14,SM-G935V,433.3617815,11125,5789895000
Female,NE,3.58E+14,SM-G935V,396.8189034,11116,8070775000
Male,OR,3.55E+14,SM-G930V,605.4626644,11087,2776173000
Female,NJ,3.57E+14,SAMSUNG-SM-G930A,623.3556522,11087,1853335000
Female,NJ,3.54E+14,SAMSUNG-SM-G928A,702.5392583,11059,5357132000
Female,MS,3.54E+14,SAMSUNG-SM-G928A,673.7782321,11014,6718959000
Female,CA,9.90E+14,SM-G928V,962.1973552,11008,5332644000
Male,TX,3.58E+14,SAMSUNG-SM-N900A,166.0485403,10995,3309066000
Female,PA,3.55E+14,SM-G935V,399.3254716,10986,6004907000
Male,CA,3.58E+14,SM-G935T,213.0557213,10931,5968818000
Male,KY,3.57E+14,SM-G935T,430.0752231,10897,6904916000
Male,DE,3.58E+14,SM-G935T,396.372997,10874,6662495000
Female,CA,3.53E+14,SM-G930V,106.8633209,10855,1357793000
Female,WI,3.57E+14,SAMSUNG-SM-G930A,413.5910013,10854,4955045000
Female,AR,3.57E+14,SAMSUNG-SM-G935A,503.667513,10814,4207811000
Female,IL,3.57E+14,SAMSUNG-SM-G935A,19.83776446,10755,5851670000
Female,MI,9.90E+14,SM-G928V,648.2993494,10755,5082149000
Male,UT,3.57E+14,SAMSUNG-SM-G930A,351.323152,10755,3285163000
Male,NY,3.60E+14,SM-G930V,637.222745,10753,3654165000
Male,OR,3.58E+14,SM-G930T,549.9904973,10741,7383616000
Male,MD,3.58E+14,SM-G935V,135.3612599,10716,4179470000
Female,FL,3.58E+14,SM-G930T,434.5840292,10708,7577045000
Male,IA,3.56E+14,SM-G930P,923.180175,10708,5356930000
Female,OH,3.57E+14,SM-G935P,715.660932,10678,6646791000
Male,WA,3.58E+14,SM-G935T,706.3706205,10626,7081887000
Female,NY,9.90E+14,SM-G928P,403.3156059,10606,7797468000
Male,NY,3.60E+14,SM-G925T,72.94233475,10583,6859597000
Male,NC,3.58E+14,SM-G935V,472.4265414,10562,4840858000
Female,OH,3.54E+14,SM-G928T,45.56913925,10556,7258712000
Female,CA,3.59E+14,SM-G920T,677.8395484,10543,6333359000
Female,CA,3.53E+14,SM-G930V,699.8929318,10529,3237092000
Female,MD,9.90E+14,SM-N920V,654.9944543,10501,5888180000
Male,Ok,9.90E+14,SM-G928V,868.5239941,10491,3386912000
Female,OR,9.90E+14,SM-G928V,937.5754333,10456,3339540000
Male,CA,3.58E+14,SM-G930T,817.44547,10434,8466450000
Female,CA,3.53E+14,SAMSUNG-SM-G900A,992.7830508,10433,3213367000
Male,VA,3.56E+14,SM-G935P,509.3429042,10430,2466236000
Male,TX,3.54E+14,SM-N920T,285.0284296,10421,5897430000
Male,MA,3.57E+14,SM-G935T,480.470343,10413,5324109000
Female,PA,3.52E+14,SAMSUNG-SM-G935A,216.546724,10391,5903043000
Male,RI,3.52E+14,SM-G900T,28.74992695,10375,7211055000
Female,FL,9.90E+14,SM-G920P,861.4600372,10343,7118653000
Female,MO,3.53E+14,SM-G930V,335.769143,10326,3802755000
Male,MN,3.55E+14,SM-G930V,392.5356003,10318,5807450000
Male,NJ,3.58E+14,SM-N900T,12.93793979,10317,2595456000
Female,NY,3.55E+14,SM-G935V,481.4144027,10281,4887824000
Male,OR,3.60E+14,SM-G930V,484.2233938,10273,298615000
Male,MO,3.57E+14,SAMSUNG-SM-G930A,716.9977282,10265,5910530000
Male,MA,3.55E+14,SM-G930V,916.1104901,10240,6976217000
Female,TX,3.57E+14,SM-G935T,476.0255388,10220,6179660000
Female,NJ,3.53E+14,SM-G930V,207.7290756,10208,3087440000
Male,TX,3.57E+14,SAMSUNG-SM-G930A,212.8488144,10204,1617450000
Male,TX,3.54E+14,SM-G928T,860.7802687,10201,4903412000
Male,AL,9.90E+14,SM-N900P,303.8601764,10197,1724257000
Female,CA,3.58E+14,SM-G935T,492.4905359,10185,6661041000
Female,GA,3.58E+14,SM-G935T,788.7569204,10184,6462979000
Male,IN,3.55E+14,SM-G930V,948.1197589,10160,3975788000
Female,KY,3.56E+14,SM-G935P,150.7989596,10125,5671711000
Male,GA,3.54E+14,SM-G928T,254.4132485,10116,6389774000
Female,CA,3.58E+14,SM-G935V,983.9580898,10092,2339596000
Female,CA,3.53E+14,SAMSUNG-SM-G900A,857.8956482,10065,7141750000
Female,IA,3.55E+14,SM-G930V,994.6666584,10065,2829056000
Female,TX,3.57E+14,SAMSUNG-SM-G930A,552.557678,10042,4288073000
Female,TX,3.59E+14,SAMSUNG-SM-G920A,252.0267767,10033,4376547000
Male,SC,9.90E+14,SM-N920V,362.1449071,10032,-912468000
Female,TX,9.90E+14,SM-G900V,931.7902479,10026,2784958000
Female,CO,3.55E+14,SM-G930V,724.1000185,10022,2599766000
Female,MI,3.55E+14,SM-G930V,833.9930162,10015,5080507000
Male,NJ,3.56E+14,SM-G935P,782.0066004,10014,5544528000
Male,MD,3.57E+14,SAMSUNG-SM-G930A,658.861983,9990,2151068000
Female,FL,3.55E+14,SM-G935V,285.8928084,9984,6864690000
Female,TN,3.52E+14,SM-G900T,382.7264735,9925,7246970000
Male,VA,3.54E+14,SAMSUNG-SM-G928A,694.7118684,9902,7590291000
Female,OH,3.59E+14,SM-G920T,57.15237398,9892,5636056000
Female,TX,3.58E+14,SM-G930T,228.0276812,9890,5476426000
Male,IA,3.55E+14,SM-G930V,529.8593967,9873,7513403000
Female,CA,3.55E+14,SM-G930V,189.7756211,9865,6761475000
Female,TX,3.54E+14,SAMSUNG-SM-N910A,909.9755485,9850,9359994000
Male,FL,9.90E+14,SM-N900V,548.5000037,9846,5052819000
Male,TX,3.58E+14,SAMSUNG-SM-G925A,673.8199647,9845,2172491000
Male,IL,3.55E+14,SM-G935V,232.5917883,9841,7244858000
Female,FL,9.90E+14,SM-G928P,615.0068428,9828,7361456000
Male,GA,9.90E+14,SM-G900V,111.6356009,9805,3666965000
Female,MA,3.58E+14,SM-G930T,742.3753532,9783,4600489000
Male,WA,3.58E+14,SM-G930T,287.7470971,9777,5288178000
Female,MI,9.90E+14,SM-N915V,565.7279184,9767,5071733000
Female,GA,3.56E+14,SM-G930P,613.0939292,9747,6616857000
Female,MD,3.58E+14,SM-G930T,515.3041508,9732,4867430000
Female,IA,3.55E+14,SM-G930V,713.2841337,9727,2574044000
Female,TX,3.58E+14,SM-G930T,68.71820898,9719,3340313000
Male,OH,9.90E+14,SM-N900V,50.85718674,9711,3157619000
Female,TX,3.57E+14,SAMSUNG-SM-G930A,452.4228774,9696,4435966000
Male,NV,9.90E+14,SM-G900V,52.29824785,9691,2012070000
Female,FL,3.55E+14,SM-G935V,809.5957631,9682,2793634000
Male,VA,3.54E+14,SAMSUNG-SM-N920A,639.1555481,9667,4596884000
Male,OR,3.57E+14,SM-G935P,506.1007325,9660,5563316000
Male,NC,9.90E+14,SM-N920V,173.4275253,9657,8204384000
Female,TX,3.58E+14,SM-G935T,442.3490254,9622,8143825000
Female,NC,9.90E+14,SM-G928V,740.1913202,9584,3114259000
Male,TX,3.58E+14,SAMSUNG-SM-G925A,751.0877016,9566,6045294000
Male,NJ,3.55E+14,SM-G930V,278.9595813,9537,2959026000
Male,NY,3.53E+14,SM-G930V,336.1027573,9533,4021919000
Male,TX,3.59E+14,SM-G920T,720.120145,9521,5213799000
Female,TX,3.54E+14,SAMSUNG-SM-N920A,41.02605497,9521,4010106000
Female,FL,3.55E+14,SM-G930V,738.767277,9514,3220596000
Female,ky,3.56E+14,SM-G935T,758.8625878,9509,6137132000
Female,NJ,9.90E+14,SM-N920V,585.8201499,9509,8341558000
Male,UT,3.60E+14,SM-G925T,479.672193,9508,6252370000
Male,TX,3.58E+14,SM-G935T,547.8032077,9503,6577405000
Male,GA,3.53E+14,SM-G930V,730.5596427,9502,3358220000
Male,TX,3.57E+14,SAMSUNG-SM-G935A,227.8884847,9500,3720444000
Female,OK,3.54E+14,SAMSUNG-SM-G900A,587.8930737,9487,5003515000
Male,TX,3.54E+14,SAMSUNG-SM-N910A,159.2858392,9484,3634017000
Male,CA,3.54E+14,SM-N920T,594.105822,9477,8604225000
Male,MD,3.58E+14,SM-G935V,229.8015142,9457,4150298000
Female,AR,3.54E+14,SAMSUNG-SM-G900A,442.0631469,9452,7415690000
Female,TX,3.54E+14,SM-N920T,172.1800035,9439,8826707000
Female,TX,3.58E+14,SAMSUNG-SM-N900A,376.8189538,9431,2678420000
Female,TX,3.53E+14,SM-G900T,648.1550233,9429,6277871000
Female,NY,3.57E+14,SAMSUNG-SM-G930A,875.8577563,9428,7336942000
Female,TX,3.54E+14,SM-G928T,923.5570027,9426,5839930000
Male,MS,3.56E+14,SM-G930P,529.9751982,9417,3881128000
Male,CO,3.55E+14,SM-G930V,635.2378714,9412,7168722000
Male,TX,3.57E+14,SM-G935T,476.0572673,9411,6634955000
Female,TX,9.90E+14,SM-G928P,256.878935,9408,7726839000
Male,FL,3.56E+14,SM-G930P,396.1476481,9401,4444930000
Male,MA,3.58E+14,SAMSUNG-SM-N900A,952.8864845,9398,2630076000
Female,TN,3.58E+14,SM-G935V,564.5488727,9394,2531604000
Male,NE,9.90E+14,SM-G928V,851.5693387,9390,3416513000
Female,GA,3.60E+14,SM-G930T,797.5326283,9382,5094206000
Male,FL,3.57E+14,SM-G935T,756.3625326,9379,4758623000
Female,CO,9.90E+14,SM-N900V,78.02781741,9356,3120935000
Female,VA,3.57E+14,SM-G935T,378.8756557,9351,4143350000
Female,OH,9.90E+14,SM-G928V,235.3083113,9329,5809983000
Male,CA,9.90E+14,SM-G900V,413.7547687,9319,1366972000
Male,MA,3.58E+14,SM-G935V,786.3633609,9314,2138539000
Male,LA,3.53E+14,SM-G930V,911.9880682,9312,5142569000
Female,FL,3.52E+14,SAMSUNG-SM-G935A,155.1191643,9276,8033286000
Male,WI,3.58E+14,SM-G935V,690.4781096,9273,3293319000
Male,IA,3.57E+14,SAMSUNG-SM-G935A,113.1731523,9263,8024281000
Male,CA,3.54E+14,SM-G928T,319.2059927,9254,7574420000
Female,al,3.53E+14,SM-G930V,853.7527389,9232,4298990000
Male,AL,3.54E+14,SM-G928T,898.6106332,9230,5728550000
Male,WI,9.90E+14,SM-G928V,38.80643605,9226,5627285000
Female,MD,3.56E+14,SM-G935T,624.8540487,9180,5742012000
Male,MI,3.55E+14,SM-G930V,755.4876366,9095,3173469000
Male,MI,3.59E+14,SAMSUNG-SM-N900A,30.5974359,9068,1848913000
Male,UT,3.59E+14,SM-G920T,605.7264287,9063,5320362000
Male,TX,3.55E+14,SAMSUNG-SM-N915A,988.2754057,9050,522143000
Female,WI,3.57E+14,SAMSUNG-SM-G930A,531.3689504,9034,5677631000
Female,TX,3.54E+14,SM-N920T,948.579313,9032,6250289000
Female,CA,3.57E+14,SAMSUNG-SM-G930A,395.4474316,9030,3004742000
Male,PA,3.55E+14,SM-G935V,758.5336817,9030,7601026000
Female,TX,3.53E+14,SAMSUNG-SM-G900A,347.4983323,9026,5328540000
Male,AL,3.55E+14,SM-G930V,817.4332612,9018,4084719000
Female,UT,3.55E+14,SM-G930V,90.0942196,8969,6978853000
Male,NJ,3.57E+14,SAMSUNG-SM-G930A,879.2996088,8958,7547697000
Female,OH,3.59E+14,SM-G920T,727.2934027,8948,6123389000
