deviceinfo_deviceid,max,count,sum
3.53E+14,51,124557,111859000
3.57E+14,39,51360,106214000
9.90E+14,40,62748,98296638
3.60E+14,48,65778,96091464
9.90E+14,51,57791,94392630
9.90E+14,45,39856,94253392
3.55E+14,40,83013,88732414
9.90E+14,52,66971,88059020
3.59E+14,36,69867,82067449
3.58E+14,42,59531,80749241
3.55E+14,39,53447,77461573
3.58E+14,26,33531,74575621
9.90E+14,46,75787,72918880
3.59E+14,52,52127,71807374
9.90E+14,47,61897,70283285
9.90E+14,50,41359,68303112
3.58E+14,27,34836,67479100
3.59E+14,48,49689,65449333
3.58E+14,47,64893,65159488
3.52E+14,35,64595,65082636
9.90E+14,47,32940,64964942
9.90E+14,49,48413,62560990
3.58E+14,27,36693,62530959
3.58E+14,24,36216,61451572
3.55E+14,41,68508,61185625
3.58E+14,27,40300,59643384
3.58E+14,38,36632,59472066
3.57E+14,47,55239,59346449
9.90E+14,59,74524,59120141
9.90E+14,45,97295,58446178
9.90E+14,52,40759,57917960
9.90E+14,40,63106,57454884
3.58E+14,27,32689,57162110
9.90E+14,45,27494,57005526
3.58E+14,35,69042,56893336
3.56E+14,30,29765,56737701
3.57E+14,41,31523,56734192
3.58E+14,28,33053,56419474
3.58E+14,54,59816,56059345
3.57E+14,46,38308,55372884
3.54E+14,49,38717,55361132
9.90E+14,52,50535,55304247
3.58E+14,49,57170,55048177
9.90E+14,61,50327,53970397
3.55E+14,42,37061,53565505
3.57E+14,35,60342,52637492
3.58E+14,65,116274,52303592
3.57E+14,45,53976,52226246
3.58E+14,23,27026,52078577
3.58E+14,27,32673,51967760
3.58E+14,27,35967,51896177
3.59E+14,49,54414,51101466
9.90E+14,45,38750,50352313
9.90E+14,40,54611,49897524
3.58E+14,22,27200,49850595
3.54E+14,57,43690,49441648
9.90E+14,51,39341,48696156
3.60E+14,40,62938,48694521
3.55E+14,40,36923,48209086
3.58E+14,22,36567,47601991
3.59E+14,47,36818,47141616
3.58E+14,27,26491,46996099
3.55E+14,36,35891,46621845
3.52E+14,47,35762,46427291
3.58E+14,23,30527,45954462
3.58E+14,27,29354,45386023
3.58E+14,30,37653,45251716
3.58E+14,30,31584,44750873
9.90E+14,48,51811,44338007
3.54E+14,50,27939,43796929
3.56E+14,39,23438,43552284
3.58E+14,27,26019,43239449
3.58E+14,41,26651,42598808
3.53E+14,40,33039,42424183
3.53E+14,32,31461,42408604
3.53E+14,36,38208,42382963
3.55E+14,40,24550,42200900
3.58E+14,25,23112,42193944
9.90E+14,45,26892,41997750
9.90E+14,47,43552,41976219
3.55E+14,39,43644,40972009
3.57E+14,41,35830,40285102
3.58E+14,40,38621,39915272
3.55E+14,39,40990,39911317
3.58E+14,55,27952,39883352
3.58E+14,25,24006,39157137
3.56E+14,33,22682,38813227
3.56E+14,48,39845,38756022
3.58E+14,26,21507,38435628
3.58E+14,28,19209,38208764
9.90E+14,64,76605,38198580
3.56E+14,48,20520,38196392
3.54E+14,52,29253,38128175
3.53E+14,48,27924,37931172
3.58E+14,39,27535,37771371
3.57E+14,42,30633,37580685
3.58E+14,22,17437,37407614
3.58E+14,40,44269,37380091
3.58E+14,26,18050,37004947
3.56E+14,36,16655,36942476
3.59E+14,45,43800,36739592
9.90E+14,53,43622,36735759
3.58E+14,25,20742,36672047
3.58E+14,17,13999,36641523
3.56E+14,28,16927,36607396
3.58E+14,27,19604,36202368
3.58E+14,27,20085,36053050
3.56E+14,34,32569,36009031
3.55E+14,42,34127,35983055
3.58E+14,26,18690,35857282
3.54E+14,45,29075,35808879
9.90E+14,49,30239,35457197
3.56E+14,33,24390,35399119
3.53E+14,30,45392,35294478
3.58E+14,25,19590,35199597
3.54E+14,50,24043,34944596
3.58E+14,38,15611,34849243
3.57E+14,37,25592,34502144
3.58E+14,22,26526,34430512
9.90E+14,46,21720,34228927
3.58E+14,27,20550,34132708
3.58E+14,28,20834,34073438
3.58E+14,24,24500,33931010
3.58E+14,32,33086,33903906
3.56E+14,27,19268,33855429
3.58E+14,20,22781,33794223
3.58E+14,25,20782,33695580
3.58E+14,28,15315,33552610
3.55E+14,40,32698,33446938
3.58E+14,26,15517,33331018
3.55E+14,33,31024,33276634
3.58E+14,23,19411,33246465
3.58E+14,26,14953,32953737
3.58E+14,26,22229,32854733
3.59E+14,54,56269,32822934
3.58E+14,48,20576,32716746
3.55E+14,41,32470,32634250
9.90E+14,58,59894,32532454
3.58E+14,24,20128,32359586
3.55E+14,40,30841,32333862
3.58E+14,27,15277,32173880
3.56E+14,25,15831,32111907
3.56E+14,24,13872,32062981
3.58E+14,20,22065,31910569
3.58E+14,26,17579,31879722
3.58E+14,26,23444,31864270
3.56E+14,40,15447,31860604
3.58E+14,25,23165,31852985
3.56E+14,23,13876,31762599
3.54E+14,27,22597,31712128
3.57E+14,49,42913,31645556
3.58E+14,24,30653,31491795
3.58E+14,26,20581,31478421
3.56E+14,28,18247,31365030
9.90E+14,48,68405,31363576
3.52E+14,56,28365,31092434
3.58E+14,26,30088,31006385
3.58E+14,40,21841,30841974
3.56E+14,25,17863,30836664
3.58E+14,27,13630,30819187
9.90E+14,63,44507,30774723
3.58E+14,21,22361,30733207
3.58E+14,27,13772,30705548
3.55E+14,42,35100,30675032
3.58E+14,28,16820,30670474
3.58E+14,24,16746,30650051
3.58E+14,21,16820,30447456
3.58E+14,22,29875,30329237
3.58E+14,28,19495,30317667
3.57E+14,40,23382,30315786
3.58E+14,24,19938,30285989
3.56E+14,25,10856,30185795
3.58E+14,25,16313,30051911
3.58E+14,28,19569,29993047
3.58E+14,25,9080,29974135
3.58E+14,58,42796,29968190
3.57E+14,48,39111,29951858
3.53E+14,37,33565,29543489
3.58E+14,24,18807,29489632
3.58E+14,25,20986,29469077
3.58E+14,31,26649,29447781
9.90E+14,48,28173,29441061
3.58E+14,29,14682,29355025
3.58E+14,23,17902,29348353
3.58E+14,24,17916,29335002
3.56E+14,30,19505,29293721
3.58E+14,24,16627,29251733
3.58E+14,22,15035,29198580
3.58E+14,29,10436,29168696
3.58E+14,28,30498,29123644
3.58E+14,27,17596,28999472
3.53E+14,34,62123,28986422
3.56E+14,26,16183,28977758
3.58E+14,28,23252,28877573
